Address,Provider,Latitude,Longitude,Outage Detected,Notes,Timestamp
"655 North Franklin St., Tampa, FL",Tampa Electric,27.949597,-82.4586818,False,,2025-07-28 08:58:53
"2420 Bellevue Avenue, Daytona Beach, FL",Florida Power & Light,29.175092,-81.0650318,False,,2025-07-28 08:58:58
"220 S. Ridgewood Ave., Daytona Beach, FL",Florida Power & Light,29.2078936,-81.021686,False,,2025-07-28 08:59:02
"300 North Beach Street, Daytona Beach, FL",Florida Power & Light,29.2170771,-81.0220331,False,,2025-07-28 08:59:07
"300 North Beach Street, Daytona Beach, FL",Florida Power & Light,29.2170771,-81.0220331,False,,2025-07-28 08:59:11
"2290 Lucien Way, Maitland, FL",Duke Energy,28.6228239,-81.3904031,False,,2025-07-28 08:59:16
"1720 SE 16th Ave., Ocala, FL",Florida Power & Light,29.1699615,-82.1166688,False,,2025-07-28 08:59:20
"1300 Citizens Blvd., Leesburg, FL",Duke Energy,28.8229887,-81.8844156,False,,2025-07-28 08:59:25
"7984 Cooper Creek Boulevard, University Park, FL",Florida Power & Light,27.3966073,-82.4530808,False,,2025-07-28 08:59:29
"817-823 Beachland Blvd, Vero Beach, FL",Florida Power & Light,27.6532778,-80.3682306,False,,2025-07-28 08:59:34
"100 Rialto Place, Melbourne, FL",Florida Power & Light,28.0899294,-80.625169,False,,2025-07-28 08:59:38
"75 Vineyards Boulevard, Naples, FL",Florida Power & Light,26.2133827,-81.7271951,False,,2025-07-28 08:59:43
"9617 Gulf Research Lane, Fort Myers, FL",Florida Power & Light,26.5025855,-81.7969607,False,,2025-07-28 08:59:47
"615 Crescent Executive Court, Lake Mary, FL",Duke Energy,28.7557164,-81.3446964,False,,2025-07-28 08:59:52
"8825 NW 21st Terrace, Doral, FL",Florida Power & Light,25.7943501,-80.3390496,False,,2025-07-28 08:59:56
"1780 N. Krome Avenue, Homestead, FL",Florida Power & Light,25.4815315,-80.4774727,False,,2025-07-28 09:00:01
"1201 West Cypress Creek Rd., Ft. Lauderdale, FL",Florida Power & Light,26.2025714,-80.183018,False,,2025-07-28 09:00:05
"1661 Worthington Rd., West Palm Beach, FL",Florida Power & Light,26.6960981,-80.0760702,False,,2025-07-28 09:00:09
"555 Winderley Place, Maitland, FL",Duke Energy,28.6324186,-81.3970939,False,,2025-07-28 09:00:14
"300 North Beach Street, Daytona Beach, FL",Florida Power & Light,29.2170771,-81.0220331,False,,2025-07-28 09:00:18
"10151 Deerwood Park Blvd. Bldg. 100, Jacksonville, FL",Florida Power & Light,30.2438198,-81.5512235,False,,2025-07-28 09:00:22
"3520 Thomasville Road, Tallahassee, FL",City of Tallahassee Utilities,30.5096703,-84.2487191,False,,2025-07-28 09:00:25
"1600 Sawgrass Corporate Parkway, Sunrise, FL",Florida Power & Light,26.1443319,-80.3400824,False,,2025-07-28 09:00:29
"5192 Mariner Blvd., Spring Hill, FL",Florida Power & Light,28.50298,-82.523806,False,,2025-07-28 09:00:33
