location_id,provider,latitude,longitude,outage
114,Seattle City Light,47.6229169,-122.3128232,
117,Seattle City Light,47.4899932,-122.3113748,
120,Seattle City Light,47.6063288,-122.3331388,
1,Tampa Electric,27.949597,-82.4586818,False
26,Tampa Electric,27.949597,-82.4586818,False
31,Tampa Electric,27.949597,-82.4586818,False
44,Tampa Electric,27.949597,-82.4586818,False
54,Tampa Electric,27.9664234,-82.5124536,False
150,We Energies,43.0414153,-88.0443803,
151,We Energies,43.0469106,-88.0460697,
152,We Energies,44.2670459,-88.4871592,
153,We Energies,43.0277406,-87.9136118,
124,Xcel Energy,44.8620725,-93.3721561,
125,Xcel Energy,44.974187,-93.272526,
126,Xcel Energy,44.8700754,-93.3539129,
128,Xcel Energy,39.7497006,-104.9944317,
129,Xcel Energy,39.6044741,-104.896313,
130,Xcel Energy,39.8802737,-105.0750211,
